title,description,category
Study of the effect of technological treatments on the denaturation of food allergenic proteins,"Las proteínas de la soja son ampliamente utilizadas en la industria alimentaria por su valor nutricional, así como por sus propiedades tecnológicas y su precio competitivo. Sin embargo, también constituyen una de las principales causas de alergia alimentaria. Los alimentos son sometidos a tratamientos tecnológicos para su higienización, así como para alargar su conservación. Por ello, el efecto que dichos tratamientos tienen en la estructura de las proteínas alergénicas de la soja es de gran relevancia ya que pueden inducir su desnaturalización, y afectar en consecuencia a su capacidad alergénica y/o a su detección. El objetivo de este trabajo ha sido estudiar el efecto de algunos tratamientos tecnológicos en la desnaturalización de las proteínas más abundantes y alergénicas de la soja, la glicinina y la β-conglicinina. Para llevar a cabo este trabajo, las proteínas se purificaron a partir de soja cruda mediante técnicas de precipitación y cromatografía. Las proteínas puras y un extracto proteico de soja se sometieron a tratamiento térmicos, de altas presiones y ultrasonidos. El efecto de estos tratamientos se ha determinado midiendo la inmunorreactividad mediante una técnica de ELISA de tipo sándwich, así como utilizando técnicas de espectroscopía de fluorescencia y electroforéticas. Los tratamientos térmicos y de altas presiones aplicados a la glicinina y la β- conglicinina purificadas producen cambios en su estructura que disminuyen su inmunorreactividad y aumentan su hidrofobicidad. El grado de desnaturalización térmica es menor en la glicinina que en la β-conglicinina en los tratamientos menos intensos pero mayor en los tratamientos más severos. El tratamiento de altas presiones a 400 MPa induce un marcado descenso en la inmunorreactividad de ambas proteínas, que disminuye muy poco a presiones mayores. Sin embargo, los tratamientos de ultrasonidos no parecen afectar sustancialmente a la estructura de la glicinina y la β-conglicinina. El conjunto de los resultados obtenidos indica que tanto los tratamientos térmicos como las altas presiones inducen la desnaturalización de la glicinina y la β-conglicinina y que el grado de desnaturalización depende de la intensidad del tratamiento aplicado, así como del medio del tratamiento y de las características intrínsecas de cada proteína.",Ciencia
The moral duty of Museum institution in the process of purchasing a piece of art. Two cases proceeding from the nazi plundering.,"El deber de las instituciones museísticas en el caso de la adquisición de obras de arte procedentes de expolios es complejo: a día de hoy no se ha tratado de forma profunda el límite que tienen los museos en estas circunstancias. El presente trabajo pretende dilucidar cuál es la responsabilidad moral que los museos tienen para actuar en el caso de una compra basándonos en dos casos provenientes del expolio nazi: uno centrado en la actuación de la colección Thyssen Bornemisza y otro por parte del Museo Reina Sofía, ambos de actualidad. Para ello, se ha recopilado información de cómo se encuentra el mercado del arte actualmente y se arroja luz sobre cual debería ser el proceso moral a seguir en el caso de compra de una obra de arte.<br />",Artes
Effect of culinary treatments on the nutritive value of food,"El incremento del número de personas con índices de sobrepeso y obesidad que la sociedad ha experimentado en los últimos años, pone de manifiesto la gran necesidad que existe de difundir conocimientos sobre nutrición y dietética. De esta forma, se conseguirá evitar la alimentación desequilibrada en la que la sociedad está inmersa y en la que se abusa día tras día de alimentos con un alto contenido calórico pero con escaso valor nutritivo. El valor nutritivo de los alimentos puede verse afectado negativamente en distintos eslabones de la cadena alimentaria, tales como el almacenamiento, procesado y venta, así como en preparación culinaria doméstica y de restauración. El presente trabajo, centrado en las preparaciones culinarias, y a través de una revisión bibliográfica actualizada, muestra como los procesos de fritura y microondas, basados en la aplicación de calor, son los que mejor mantienen el valor nutritivo de los alimentos; la congelación, en los basados en la aplicación de frío, y la fermentación, en los métodos químicos, es un método que también mantienen adecuadamente el valor nutritivo. Si se difunden estos conocimientos entre la sociedad y se hace uso de ellos, las mermas en el valor nutritivo de los alimentos quedarán reducidas, pudiendo conseguirse así una mejora en la salud de la población.",Ciencia
Terapia ocupacional en centro de día: Paciente geriátrico con hemiplejia derecha,"Las enfermedades cerebro vasculares representan la tercera causa de muerte en el mundo occidental, la primera causa de discapacidad física en las personas adultas y la segunda de demencia, según datos aportados por la Organización Mundial de la Salud (OMS). El caso clínico que vamos a desarrollar es de un paciente de 76 años que tras sufrir un Infarto Cerebral isquémico hemisférico izquierdo, con secuela de hemiplejía derecha y paresia facial derecha con disartria, ingresa en Centro de Día Geriátrico. El objetivo principal de tratamiento de terapia ocupacional es alcanzar la independencia funcional en Actividades Básicas de la Vida Diaria y Actividades Instrumentales de la Vida diaria, lo que repercutirá directamente en una mejora de su calidad de vida. Se llevará a cabo una evaluación desde Terapia ocupacional de aspectos motores, sensoriales, funciones ejecutivas y estado emocional y psicológico, así como de aspectos sociales y de entorno; ya que es una paciente que regresa a su domicilio después de recibir el tratamiento en Centro de Día.",Salud
"Dieta, estilos de vida y factores de riesgo cardiovascular en niños y adolescentes europeos","La infancia y la adolescencia no sólo se caracterizan por ser periodos de crecimiento rápido y maduración, sino también porque se adquiere el comportamiento alimentario para toda la vida. También se ha observado que las primeras manifestaciones de arteriosclerosis se dan de forma temprana durante la infancia y que, además, están relacionadas con la dieta y otros estilos de vida como la actividad física y los comportamientos sedentarios, entre otros factores. Por todo ello, es de gran importancia valorar de forma precisa la dieta de los niños y adolescentes para poder establecer relaciones entre dieta y enfermedad, así como identificar posibles asociaciones entre los factores de riesgo cardiovascular y el estilo de vida en este grupo poblacional, que permitan desarrollar estrategias dirigidas a mejorar el estilo de vida de los niños y adolescentes y así prevenir la aparición de enfermedades crónicas en el futuro. A nivel general, los objetivos de la presente Tesis Doctoral son: 1) determinar el grado de validez de dos métodos de valoración de la dieta para ser usados en niños y 2) analizar la asociación de la dieta y otros estilos de vida con los factores de riesgo cardiovascular en niños y adolescentes para ampliar el conocimiento científico en este grupo de la población e identificar posibles brechas dentro de este área de investigación. Para la validación de los métodos de valoración de la dieta se obtuvieron mediciones de niños participantes en el estudio IDEFICS (Identification and prevention of dietary- and lifestyle induced health effects in children and infants). Un total de 36 niños (4-10 años) de España y Bélgica  fueron medidos para determinar la validez de un recuerdo dietético de 24-horas en comparación con la técnica del agua doblemente marcada. En la validación del cuestionario de frecuencia de consumo de alimentos semi-cuantitativo se incluyeron 2.508 niños (2-8 años) procedentes de ocho países europeos (Italia, Estonia, Chipre, Bélgica, Suecia, Alemania, Hungría, España). Para la consecución del segundo objetivo se obtuvieron mediciones tanto de niños europeos (n=5.548) participantes en el estudio IDEFICS como de adolescentes europeos (n=511) de entre 12,5-17,5 años que participaron en el estudio HELENA (Healthy Lifestyle in Europe by Nutrition in Adolescence) el cual se llevó a cabo en diez ciudades europeas (Atenas en Grecia, Dortmund en Alemania, Gante en Bélgica, Heraklion en Grecia, Lille en Francia, Pécs en Hungría, Roma en Italia, Estocolmo en Suecia, Viena en Austria y Zaragoza en España). Los resultados del presente trabajo muestran que la capacidad del cuestionario de frecuencia de consumo de alimentos para clasificar a los individuos en función de su ingesta fue diferente en función de grupo de alimentos considerado; sin embargo, el recuerdo dietético de 24-horas resultó ser un buen método para determinar la ingesta de energía a nivel del grupo, pero no a nivel individual. En cuanto al riesgo cardiovascular, la ingesta elevada de algunos alimentos como los frutos secos y semillas y los cereales de desayuno, entre otros, en niños y como los lácteos en adolescentes se asoció inversamente con el riesgo cardiovascular. Aparte de la dieta, los estilos de vida, concretamente el sedentarismo, también se asociaron con el riesgo cardiovascular ya que jugar a los videojuegos durante más de cuatro horas los fines de semana aumentó al doble el riesgo de enfermedad cardiovascular en chicos adolescentes. Además, el tener un tamaño de muestra suficientemente amplio permitió valorar la relación entre conjuntos o clusters de algunos estilos de vida y el riesgo cardiovascular. Por ejemplo, el tener un comportamiento caracterizado por niveles bajos de sedentarismo y baja ingesta de bebidas azucaradas se asoció con un menor riesgo cardiovascular. La influencia de los macronutrientes en el perfil lipídico sérico también fue investigada en la presente Tesis Doctoral. De hecho, los resultados mostraron que una ingesta elevada de hidratos de carbono y baja de lípidos estaba asociada con un peor perfil lipídico; además, cabe destacar que dichas asociaciones fueron dependientes de la masa grasa del individuo. Así mismo, también se observó que la asociación entre la ingesta de aminoácidos y la concentración de lípidos plasmáticos era dependiente de la ingesta de grasa del individuo. En resumen, estos resultados ponen de manifiesto la necesidad de desarrollar métodos de valoración de la dieta capaces de estimarla de forma más precisa. Además, existe evidencia de que tanto la dieta como los comportamientos sedentarios están asociados con el riesgo cardiovascular durante la infancia y la adolescencia, por ello es necesario diseñar estrategias destinadas a prevenir el desarrollo de riesgo cardiovascular a edades tan tempranas promoviendo el consumo de alimentos saludables y la práctica de actividad física, a expensas de la disminución de los niveles de sedentarismo, tanto en niños como en adolescentes.",Salud
"Opinion on a legal case of murder, robbery with violence and cover-up crime","Estrategia de defensa para un caso de delito de asesinato, robo con violencia en las personas y delito de encubrimiento",Humanidades
Ghosts: a common topic and two different developments in the Japanese and Hispanic literary traditions,"RESUMEN: los cuentos de fantasmas han tenido un gran número de lectores a lo largo de la historia y se han producido en todas las culturas. En el presente trabajo, a partir de una selección de relatos, analizaremos la figura del fantasma desde la perspectiva de dos tradiciones literarias diferentes: la de los cuentos de terror hispánicos decimonónicos y la de los kaidan del período Edo japonés. De este modo, conoceremos con qué rasgos han dotado a sus espectros los autores de cada tradición con el fin de alcanzar un objetivo último que trasciende sus diferencias espaciales y temporales: provocar el terror en el lector.",Humanidades
Analysis of the distribution of sports injuries according to different population groups.,"En el siguiente trabajo se analizaran las lesiones deportivas, en concreto las lesiones de<br />ligamento cruzado anterior (LCA), estudiando la distribución de estas lesiones según<br />sexo, tipo de deporte, edad, tiempo que estuvo sin poder realizar actividad física, si fue<br />necesaria cirugía, si preciso de rehabilitación, como se produjo y porque se produjo.<br />Tras la realización concluyo que las mujeres son más propensas a dicha lesión, además<br />son factores importantes la interacción del terreno de juego y el equipamiento, por<br />último es conveniente implantar programas de prevención.<br /><br />",Ciencia
Curvas cónicas en la programación docente de dibujo técnico,"Memoria original e integradora elaborada a partir de dos actividades realizadas a lo largo del Máster (unidad didáctica y propuesta de innovación), en la que se efectúa un análisis crítico en el que se refleja la integración de los distintos saberes y prácticas de mi proceso formativo. Consta de una introducción, justificación de la selección de actividades, reflexión crítica sobre las relaciones existentes o posibles entre esas actividades y, por último, conclusiones y propuestas de futuro.",Artes
Implementing a protocol for detecting rheumatic diseases in the field of sport,"INTRODUCCIÓN: En el tratamiento de enfermedades reumáticas (ER) es fundamental la detección temprana (DT) de estas patologías. Esta línea de actuación es prioritaria para la Reumatología considerando la edad avanzada en la que el reumatólogo confirma el diagnóstico de sus pacientes e inicia el tratamiento. La Sociedad Española de Reumatología (SER) propone la utilización de un cuestionario de DT de ER para su utilización por la población en general. Sin embargo, para que este cuestionario contribuya a la detección de casos se requiere que: (1) sea conocido y utilizado por un amplio número de personas y sectores de la población; y (2) que las fases del protocolo de su utilización (cumplimentación, consulta con el médico de familia y reumatólogo) se realicen convenientemente.  OBJETIVOS: En el presente estudio se pretende: (1) realizar una revisión de los protocolos de DT de ER existentes; (2) estudiar el grado de comprensión de los ítems del cuestionario de la SER; y (3) implementar un protocolo de DT de ER a través del entrenador deportivo.",Ciencia
"Suffering, body and otherness. The theather of Angélica Liddell","Sufrimiento, cuerpo y alteridad.  El teatro de Angélica Liddell              El teatro de Angélica Liddell huye de toda dramaturgia convencional, utiliza técnicas contemporáneas del teatro postdramático, pero sus temas son clásicos: el sexo y la muerte, la violencia y el poder, la locura. La característica más señalada de su teatro es, según la expresión de José A. Sánchez, es que pone su cuerpo, lo que implica la cruda exposición de las miserias de la vida, pero a través de la exposición de su propia fragilidad y vulnerabilidad como actriz. No se coloca a sí misma desde una perspectiva de superioridad y compasión, sino como una colaboradora y a la vez una víctima más del sistema. Desde ese lugar utiliza el teatro para hablar de tabúes sociales de forma cruda y directa. Se convierte en una especie de bufón, pero sin el filtro del humor, de tal manera que sus verdades duelen, pues las utiliza para interpelar al público y recordarle su papel de colaborador en las injusticias del mundo.",Artes
Memoria del Máster,Este proyecto Fin de Máster trata sobre una reflexión acerca del propio Máster en Formación del Profesorado de Educación Secundaria Obligatoria y Bachillerato y de los conocimientos adquiridos en el mismo.,Ciencia
El impacto de los nuevos medios en el lenguaje y su didáctica,"Somos conscientes y participantes activos de los cambios tecnológicos que se han producido en la última década. La proliferación de los nuevos medios de comunicación ha supuesto un importante impacto no solo a nivel económico sino también social. La globalización y la democratización de la red, gracias a internet, ha alcanzado también a la lengua española, cada vez más internacional. Surge así un nuevo modelo de comunicación que presenta unas características propias y novedosas. Esta evolución del lenguaje trae muchas oportunidades consigo, pero también supone algunos riesgos que nos exigen permanecer alerta. Otro de los escenarios donde los nuevos medios juegan un papel crucial es en el de la educación, donde los maestros luchan por controlar y aprovechar lo mejor posible la digitalización de las aulas repletas de “nativos digitales”.",Ciencia
The reviewble life sentence,"El objeto del estudio lo constituye la nueva pena implantada por la Ley Orgánica 1/2015, de 30 de marzo, la cual ha desencadenado estos últimos años un importante debate tanto político como doctrinal y social.  En este estudio se analiza principalmente la actual regulación de la prisión permanente revisable, las razones esgrimidas por el legislador para justificar dicha pena, y su dudosa constitucionalidad, ofreciendo un análisis personal y crítico desde el punto de vista dogmático.",Humanidades
Analysis of the incidence of shoulder injury in students of Physical Activity and Sports Sciences of the University of Zaragoza,"Objetivos: estudiar la incidencia de la lesión de hombro (en concreto la articulación glenohumeral) en alumnos de Ciencias de la Actividad Física y el Deporte de la Universidad de Zaragoza. Descubrir la razón y el ámbito en el que se han desarrollado dichas lesiones. Observar cómo afectan a nivel psicológico, deportivo y académico. Método: se pasaron dos encuestas a los alumnos del grado de Ciencias de la Actividad Física y el Deporte. La primera encuesta se pasó de forma presencial en las aulas en algún momento puntual del transcurso de las clases. Ésta tenía como objetivo principal la captación de la población lesionada de hombro. La segunda encuesta se realizó vía internet a través de la herramienta Google Drive, la cual solo en envío a los estudiantes lesionados. Resultados: el 18% de los alumnos de este grado padecen o han padecido lesión de hombro durante los años que llevan en la carrera. La media de deportes con alta incidencia de lesión de hombro que practican dichos sujetos es de 1,35. Se han observado diferencias significativas (P<0.05) en cuanto al número de este tipo de deportes practicado por el grupo de lesionados en comparación con el de no lesionados. El 85% de los lesionados manifestaron que habían sufrido alguna afectación a nivel psicológico, de rendimiento y/o académico a raíz de la lesión. Conclusiones: la diferencia del tipo de deportes practicados entre uno y otro grupo probablemente sea la causa de mayor incidencia de lesión en hombres que en mujeres. La práctica multitudinaria de deportes con alta incidencia de lesión de hombro, parece ser la causa de que haya una tasa del 18% de lesiones de este tipo. Las afecciones psicológicas son de importante abordaje para que el deportista vuelva a rendir como antes de la lesión.",Ciencia
Proposal for the Involvement of Occupational Therapy in a Correctional Psychiatric Hospital for People with Dual Pathology,"La patología dual se define como la coexistencia de un trastorno por uso de sustancias junto a, al menos, otro trastorno mental en una misma persona. La comorbilidad de ambas patologías psiquiátricas supone en la persona, entre otros, un deficiente desempeño en el área social presentando con frecuencia, un mayor riesgo conductas agresivas y actividades ilegales con el consiguiente ingreso en un hospital psiquiátrico penitenciario. En dicho contexto, hay escasos puestos de trabajos específicos para profesionales de la terapia ocupacional y con esta propuesta, se planteó que papel del terapeuta ocupacional en el mismo se encaminase hacia la identificación y fortalecimiento de los roles significativos para la persona y su entorno que, con frecuencia, se ven deteriorados tanto a la entrada en la institución como previa a ella, propiciando unas adecuadas relaciones interpersonales mediante en la participación en ocupaciones significativas. Para ello se diseñaron actividades grupales en las que participarían, no solo la población diana de dicha propuesta, sino también sus familiares, cuya presencia es de vital de importancia en la rehabilitación psicosocial del usuario, a pesar de tratarse, en la mayoría de los casos, de familias desestructuradas. La implementación en la población diana de la herramienta de evaluación formulada y una rehabilitación que se acerque más a la comunidad podrían suponer unos mejores resultados en líneas futuras. También se propuso una herramienta de evaluación que fue pasada a una población modelo que se recomienda, en futuros programas, la implementación de la misma sobre la población con diagnóstico dual y comparar los resultados obtenidos.<br />",Salud
La educación emocional en la etapa de Infantil : Análisis de programas educativos,"El presente trabajo pretende aproximarse a la construcción de los términos Inteligencia Emocional, educación emocional y a sus aplicaciones en Educación Infantil. El concepto de inteligencia ha variado en las últimas décadas, dejando a un lado las visiones más tradicionales, que centraban su interés en el desarrollo cognitivo, y dando lugar a teorías alternativas abogadas por autores como Gardner y Sternberg.  Gracias a investigadores como Salovey, Mayer y Goleman, la Inteligencia Emocional ha ido cobrando fuerza, fomentando la aparición de modelos sólidos que defienden la importancia de las habilidades sociales y emocionales para alcanzar el éxito en el trabajo, en las relaciones, y en la vida.  Fruto de los cambios sociales existentes y de las exigencias de este nuevo mundo, la Inteligencia Emocional se ha convertido en competencia ineludible para el desarrollo integral de las personas. Por consiguiente, la necesidad de incluir estos contenidos en la educación, desde el comienzo de la escolarización, mediante una intervención sistemática, intencional y con carácter de continuidad. Muestra del panorama existente en España son los programas que se presentan, propuestos para trabajar la educación emocional en la etapa de Infantil, así como el análisis crítico que de la enseñanza de estas competencias se realiza.",Ciencia
Canine urolithiasis and retrospective study of casuistry observed at the Veterinary Hospital of the University of Zaragoza,"La urolitiasis canina es una patología de las vías urinarias muy frecuente y común, pudiendo afectar a cualquier perro. Dicha enfermedad tiene una elevada tasa de incidencia en nuestro país, la cual depende de múltiples factores, destacando entre ellos el manejo nutricional. Este trabajo pretende conocer y profundizar en la enfermedad mediante una revisión bibliográfica de documentos en formato digital y físico, así como realizar un estudio retrospectivo de la casuística observada en el Hospital Veterinario de la Universidad de Zaragoza. De este modo, se podrá realizar una comparativa entre los datos obtenidos en la revisión bibliográfica y los datos obtenidos en la revisión de las historias clínicas del Hospital Veterinario de la Universidad de Zaragoza. Finalmente, se procederá a exponer las conclusiones obtenidas tras el análisis de las comparativas destacando las coincidencias y las divergencias entre los datos del hospital y los recogidos en la bibliografía.",Salud
